course_code,course_title,Semester,Term,Program,Pre-Req,Elective,college,
CMS202,Poverty and Women Empowerment/Language-II,Five,Fall-2022,BS ENTRP & SL,,,CBM,
SEM402,Sustainability,Five,Fall-2022,BS ENTRP & SL,,,CBM,
SEM204,Leadership in Social Transformation,Five,Fall-2022,BS ENTRP & SL,,,CBM,
SED301,Anthropocentricity and Environment,Six,Spring-2023,BS ENTRP & SL,,,CBM,
SEC301,Socioeconomic Transformation and Threat to Environment,Six,Spring-2023,BS ENTRP & SL,,,CBM,
SAC301,Literary Writing and Expression of Environmental Impact,Six,Spring-2023,BS ENTRP & SL,,,CBM,
CMS301,Artificial vs Natural/Self Sustainable Design,Six,Spring-2023,BS ENTRP & SL,,,CBM,
SEM301,Domestication of Agriculture and self-sustainable living,Six,Spring-2023,BS ENTRP & SL,,,CBM,
SEM303,Leadership in Environmental Projects,Six,Spring-2023,BS ENTRP & SL,,,CBM,
SED302,"Violence, Will and Human Psyche",Seven,Fall-2023,BS ENTRP & SL,,,CBM,
SEC302,History and Kinds of Violence and their respective social impact,Seven,Fall-2023,BS ENTRP & SL,,,CBM,
SAC302,Street Art/Art Activism as Antidote to Violence,Seven,Fall-2023,BS ENTRP & SL,,,CBM,
,Business Incubation,Seven,Fall-2023,BS ENTRP & SL,,,CBM,
,Business Incubation,Seven,Fall-2023,BS ENTRP & SL,,,CBM,
,Business Incubation,Seven,Fall-2023,BS ENTRP & SL,,,CBM,
CMS302,Law and Ethics of Social Enterprise,Eight,Spring-2024,BS ENTRP & SL,,,CBM,
SEM302,Conflict Management and Negotiation Skills,Eight,Spring-2024,BS ENTRP & SL,,,CBM,
SEM304,Leadership in Violent Areas,Eight,Spring-2024,BS ENTRP & SL,,,CBM,
,Business Incubation,Eight,Spring-2024,BS ENTRP & SL,,,CBM,
,Business Incubation,Eight,Spring-2024,BS ENTRP & SL,,,CBM,
,Business Incubation,Eight,Spring-2024,BS ENTRP & SL,,,CBM,
COM107,Academic English,one,Fall-2020,BS IM,,,CBM,
MAN101,Principles of Management,one,Fall-2020,BS IM,,,CBM,
INM101,Production Processes,one,Fall-2020,BS IM,,,CBM,
PSC301,Pakistan Studies,one,Fall-2020,BS IM,,,CBM,
MTH101,College Algebra,one,Fall-2020,BS IM,,,CBM,
REL101,Islamic Studies,one,Fall-2020,BS IM,,,CBM,
ACC101,Introduction to Financial Accounting,Two,Spring-2021,BS IM,,,CBM,
ECO301,Managerial Economics,Two,Spring-2021,BS IM,,,CBM,
MKT301,Principles of Marketing,Two,Spring-2021,BS IM,,,CBM,
MTH103,Calculus for Business Decisions,Two,Spring-2021,BS IM,,,CBM,
INM102,Industrial Safety & Health,Two,Spring-2021,BS IM,,,CBM,
SSC101,Introduction to Psychology,Two,Spring-2021,BS IM,,,CBM,
MAN302,Organizational Behavior,Three,Fall-2021,BS IM,,,CBM,
COM205,Persuasive & Analytical Writing for Business Communication,Three,Fall-2021,BS IM,COM107,,CBM,
STA204,Industrial Applications of Statistics,Three,Fall-2021,BS IM,,,CBM,
ACC201,Intermediate Financial Accounting,Three,Fall-2021,BS IM,,,CBM,
INM201,Methods Analysis and Time Study,Three,Fall-2021,BS IM,,,CBM,
MIS104,Computer Programming & Graphics,Three,Fall-2021,BS IM,,,CBM,
COM202,Business & Professional Speech ,Four,Spring-2022,BS IM,COM205,,CBM,
FIN201,Introduction to Business Finance,Four,Spring-2022,BS IM,,,CBM,
MKT302,Marketing Management,Four,Spring-2022,BS IM,,,CBM,
INM202,Energy Management,Four,Spring-2022,BS IM,,,CBM,
INM203,Introduction to Production & Operation Management ,Four,Spring-2022,BS IM,,,CBM,
INM204,Ergonomics,Four,Spring-2022,BS IM,,,CBM,
LAN 10*,Foreign Language I,Five,Fall-2022,BS IM,,,CBM,
ACC350,Cost Management Accounting,Five,Fall-2022,BS IM,,,CBM,
HRM301,Human Resource Management,Five,Fall-2022,BS IM,,,CBM,
SSC202,Environmental Studies,Five,Fall-2022,BS IM,,,CBM,
SCM400,Introduction to ERP Systems,Five,Fall-2022,BS IM,,,CBM,
INM301,Introduction to Facility Planning and Layout,Five,Fall-2022,BS IM,,,CBM,
LAN 20**,Foreign Language II,Six,Spring-2023,BS IM,,,CBM,
FIN202,Financial Management,Six,Spring-2023,BS IM,,,CBM,
INM303,Introduction to Planning and Scheduling,Six,Spring-2023,BS IM,,,CBM,
INM304,Introduction to Project Management,Six,Spring-2023,BS IM,,,CBM,
INM304,Inventory Management,Six,Spring-2023,BS IM,,,CBM,
INM302,Lean Six Sigma and Production,Six,Spring-2023,BS IM,,,CBM,
ENT403,Small Business and Entrepreneurship,Seven,Fall-2023,BS IM,,,CBM,
,Introduction to SCM,Seven,Fall-2023,BS IM,,,CBM,
,Project I,Seven,Fall-2023,BS IM,,,CBM,
,Elective I,Seven,Fall-2023,BS IM,,,CBM,
,Elective II,Seven,Fall-2023,BS IM,,,CBM,
INM402,Introduction to Quality Management,Eight,Spring-2024,BS IM,,,CBM,
INM403,Business Process Methodology,Eight,Spring-2024,BS IM,,,CBM,
,Project II,Eight,Spring-2024,BS IM,,,CBM,
,Elective III,Eight,Spring-2024,BS IM,,,CBM,
,Elective IV,Eight,Spring-2024,BS IM,,,CBM,
,Internship (2 credit hours),Eight,Spring-2024,BS IM,,,CBM,
COM107,Academic English,one,Fall-2020,BSLSCM,,,CBM,
MAN101,Principles of Management,one,Fall-2020,BSLSCM,,,CBM,
INM101,Essentials of Supply Chain Management,one,Fall-2020,BSLSCM,,,CBM,
PSC301,Pakistan Studies,one,Fall-2020,BSLSCM,,,CBM,
MTH101,College Algebra,one,Fall-2020,BSLSCM,,,CBM,
REL101,Islamic Studies,one,Fall-2020,BSLSCM,,,CBM,
ACC206,Fundamentals of Accounting,Two,Spring-2021,BSLSCM,,,CBM,
ECO104,Micro and Macroeconomics,Two,Spring-2021,BSLSCM,,,CBM,
MKT301,Principles of Marketing,Two,Spring-2021,BSLSCM,,,CBM,
MTH103,Calculus for Business Decisions,Two,Spring-2021,BSLSCM,,,CBM,
SCM102,Logistics and operations management,Two,Spring-2021,BSLSCM,,,CBM,
SCM311,Import-Export Management,Two,Spring-2021,BSLSCM,,,CBM,
LAN 10*,Foreign Language I,Three,Fall-2021,BSLSCM,,,CBM,
COM205,Persuasive & Analytical Writing for Business Communication,Three,Fall-2021,BSLSCM,COM107,,CBM,
SCM400,Introduction to ERP systems,Three,Fall-2021,BSLSCM,,,CBM,
STA201,Quantitative Business Analysis,Three,Fall-2021,BSLSCM,,,CBM,
SCM201,"Shipping, Ocean Freights & Port Operations",Three,Fall-2021,BSLSCM,,,CBM,
SSC202,Environmental Studies,Three,Fall-2021,BSLSCM,,,CBM,
COM202,Business & Professional Speech ,Four,Spring-2022,BSLSCM,COM205,,CBM,
FIN201,Introduction to Business Finance,Four,Spring-2022,BSLSCM,,,CBM,
SSC401,Business Ethics,Four,Spring-2022,BSLSCM,,,CBM,
SCM202,Supply Chain Finance,Four,Spring-2022,BSLSCM,,,CBM,
STA202,Quantitative Skills & Managerial Statistics,Four,Spring-2022,BSLSCM,,,CBM,
MAN302,Organizational Behavior ,Four,Spring-2022,BSLSCM,,,CBM,
SCM303,Logistical projects in ERP,Five,Fall-2022,BSLSCM,,,CBM,
SCM304,Food Security and Sustainability,Five,Fall-2022,BSLSCM,,,CBM,
MKT404,Methods in Business Research,Five,Fall-2022,BSLSCM,,,CBM,
HRM301,Human Resource Management,Five,Fall-2022,BSLSCM,,,CBM,
SCM308,Mobile Commerce and Mobile Logistics,Five,Fall-2022,BSLSCM,,,CBM,
MIS405,Computer Applications-E-Business,Five,Fall-2022,BSLSCM,,,CBM,
SCM305,Lean Six Sigma & Lean Manufacturing,Six,Spring-2023,BSLSCM,,,CBM,
LAN 20**,Foreign Language II,Six,Spring-2023,BSLSCM,,,CBM,
SCM306,Innovation Mgmt. in Supply Chain & Logistics,Six,Spring-2023,BSLSCM,,,CBM,
LAW409,Corporate and Business Law,Six,Spring-2023,BSLSCM,,,CBM,
SCM307,Globalization and Outsourcing Strategies,Six,Spring-2023,BSLSCM,,,CBM,
ECO402,Pakistan Economic Policy,Six,Spring-2023,BSLSCM,,,CBM,
SCM401,Storage and Warehouse techniques,Seven,Fall-2023,BSLSCM,,,CBM,
ENT403,Small Business and Entrepreneurship,Seven,Fall-2023,BSLSCM,,,CBM,
SCM504,Procurement and Inventory Management,Seven,Fall-2023,BSLSCM,,,CBM,
,Elective I,Seven,Fall-2023,BSLSCM,,,CBM,
,Elective II,Seven,Fall-2023,BSLSCM,,,CBM,
,Elective III,Seven,Fall-2023,BSLSCM,,,CBM,
ECO405,Seminar in Economic Policy,Eight,Spring-2024,BSLSCM,,,CBM,
MAN303,Production and Operations Management,Eight,Spring-2024,BSLSCM,,,CBM,
SCM402,Transportation Techniques & Mgmt.,Eight,Spring-2024,BSLSCM,,,CBM,
,Elective IV,Eight,Spring-2024,BSLSCM,,,CBM,
,Elective V,Eight,Spring-2024,BSLSCM,,,CBM,
